Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,200nF,
D1,0603,1,TLMS1000,
E$1,L_PICC_CLASS4_50PF_01,1,,
R1,0402,1,130,
R2,0201,0,R,
R3,0402,0,R,
R4,0603,0,R,
R5,0805,0,R,
R6,1206,0,R,
R7,1210,0,R,
R8,2512,0,R,
U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,NT3H2111W0FHKH,C710403
