Designator,Mid X,Mid Y,Rotation,Layer
C1,177.23,-140.96,270.0,top
D1,171.3525,-137.31,180.0,top
E$1,188.07,-136.02,270.0,top
R1,174.06,-141.4,0.0,top
R2,140.145,-132.62,0.0,top
R3,140.095,-135.215,0.0,top
R4,140.015,-138.12,0.0,top
R5,140.06,-141.655,0.0,top
R6,145.465,-141.36,0.0,top
R7,151.6925,-141.195,0.0,top
R8,148.5575,-134.76,0.0,top
U1,179.55,-140.97,270.0,top
